profile,scenario,role,index,method_name,snake_name,reference,args_json
python,exchange_time,exchange_publisher,1,startRegistrationForObjectClass,start_registration_for_object_class,IEEE 1516.1-2010 §5.10 Start Registration For Object Class service (Declaration Management),"[{""value"": 5}]"
python,exchange_time,exchange_publisher,2,turnInteractionsOn,turn_interactions_on,IEEE 1516.1-2010 §5.12 Turn Interactions On service (Declaration Management),"[{""value"": 86}]"
python,exchange_time,exchange_publisher,3,objectInstanceNameReservationSucceeded,object_instance_name_reservation_succeeded,IEEE 1516.1-2010 §6.3 Object Instance Name Reserved service (Object Management),"[""SuiteObject-1""]"
python,exchange_time,exchange_publisher,4,timeRegulationEnabled,time_regulation_enabled,IEEE 1516.1-2010 §8.3 Time Regulation Enabled service (Time Management),"[{""value"": 0.0}]"
python,exchange_time,exchange_publisher,5,timeAdvanceGrant,time_advance_grant,IEEE 1516.1-2010 §8.13 Time Advance Grant service (Time Management),"[{""value"": 8.0}]"
python,exchange_time,exchange_subscriber,1,discoverObjectInstance,discover_object_instance,IEEE 1516.1-2010 §6.9 Discover Object Instance service (Object Management),"[{""value"": 4}, {""value"": 5}, ""SuiteObject-1""]"
python,exchange_time,exchange_subscriber,2,reflectAttributeValues,reflect_attribute_values,IEEE 1516.1-2010 §6.11 Reflect Attribute Values service (Object Management),"[{""value"": 4}, {""{'value': 49}"": ""73756974652d617474726962757465""}, ""73756974652d726563656976652d746167"", ""RECEIVE"", {""value"": 1}, {""producing_federate"": {""value"": 1}, ""sent_regions"": []}]"
python,exchange_time,exchange_subscriber,3,receiveInteraction,receive_interaction,IEEE 1516.1-2010 §6.13 Receive Interaction service (Object Management),"[{""value"": 86}, {""{'value': 171}"": ""73756974652d696e746572616374696f6e""}, ""73756974652d696e746572616374696f6e2d746167"", ""RECEIVE"", {""value"": 1}, {""producing_federate"": {""value"": 1}, ""sent_regions"": []}]"
python,exchange_time,exchange_subscriber,4,timeConstrainedEnabled,time_constrained_enabled,IEEE 1516.1-2010 §8.6 Time Constrained Enabled service (Time Management),"[{""value"": 0.0}]"
python,exchange_time,exchange_subscriber,5,reflectAttributeValues,reflect_attribute_values,IEEE 1516.1-2010 §6.11 Reflect Attribute Values service (Object Management),"[{""value"": 4}, {""{'value': 49}"": ""73756974652d6174747269627574652d74736f""}, ""73756974652d74736f2d746167"", ""TIMESTAMP"", {""value"": 1}, {""value"": 5.0}, ""TIMESTAMP"", {""value"": 1}, {""producing_federate"": {""value"": 1}, ""sent_regions"": []}]"
python,exchange_time,exchange_subscriber,6,receiveInteraction,receive_interaction,IEEE 1516.1-2010 §6.13 Receive Interaction service (Object Management),"[{""value"": 86}, {""{'value': 171}"": ""73756974652d696e746572616374696f6e2d74736f""}, ""73756974652d696e746572616374696f6e2d74736f2d746167"", ""TIMESTAMP"", {""value"": 1}, {""value"": 6.0}, ""TIMESTAMP"", {""value"": 2}, {""producing_federate"": {""value"": 1}, ""sent_regions"": []}]"
python,exchange_time,exchange_subscriber,7,timeAdvanceGrant,time_advance_grant,IEEE 1516.1-2010 §8.13 Time Advance Grant service (Time Management),"[{""value"": 8.0}]"
python,exchange_time,exchange_subscriber,8,removeObjectInstance,remove_object_instance,IEEE 1516.1-2010 §6.15 Remove Object Instance service (Object Management),"[{""value"": 4}, ""64656c6574652d746167"", ""RECEIVE"", {""producing_federate"": {""value"": 1}, ""sent_regions"": []}]"
