interaction,role,leaf,parameters,required_parameters,at_least_one_of,negative_case_count
HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAmodifyAttributeState,HLAadjust,HLAmodifyAttributeState,HLAfederate;HLAobjectInstance;HLAattribute;HLAattributeState,HLAfederate;HLAobjectInstance;HLAattribute;HLAattributeState,,7
HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetExceptionReporting,HLAadjust,HLAsetExceptionReporting,HLAfederate;HLAreportingState,HLAfederate;HLAreportingState,,5
HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetServiceReporting,HLAadjust,HLAsetServiceReporting,HLAfederate;HLAreportingState,HLAfederate;HLAreportingState,,5
HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetSwitches,HLAadjust,HLAsetSwitches,HLAfederate;HLAconveyRegionDesignatorSets;HLAconveyProducingFederate,,HLAconveyRegionDesignatorSets;HLAconveyProducingFederate,5
HLAinteractionRoot.HLAmanager.HLAfederate.HLAadjust.HLAsetTiming,HLAadjust,HLAsetTiming,HLAfederate;HLAreportPeriod,HLAfederate;HLAreportPeriod,,5
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestFOMmoduleData,HLArequest,HLArequestFOMmoduleData,HLAfederate;HLAFOMmoduleIndicator,HLAfederate;HLAFOMmoduleIndicator,,4
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsReceived,HLArequest,HLArequestInteractionsReceived,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestInteractionsSent,HLArequest,HLArequestInteractionsSent,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstanceInformation,HLArequest,HLArequestObjectInstanceInformation,HLAfederate;HLAobjectInstance,HLAfederate;HLAobjectInstance,,5
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesReflected,HLArequest,HLArequestObjectInstancesReflected,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesThatCanBeDeleted,HLArequest,HLArequestObjectInstancesThatCanBeDeleted,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestObjectInstancesUpdated,HLArequest,HLArequestObjectInstancesUpdated,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestPublications,HLArequest,HLArequestPublications,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestReflectionsReceived,HLArequest,HLArequestReflectionsReceived,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestSubscriptions,HLArequest,HLArequestSubscriptions,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLArequest.HLArequestUpdatesSent,HLArequest,HLArequestUpdatesSent,HLAfederate,HLAfederate,,3
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeAttributeOrderType,HLAservice,HLAchangeAttributeOrderType,HLAfederate;HLAobjectInstance;HLAattributeList;HLAsendOrder,HLAfederate;HLAobjectInstance;HLAattributeList;HLAsendOrder,,9
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAchangeInteractionOrderType,HLAservice,HLAchangeInteractionOrderType,HLAfederate;HLAinteractionClass;HLAsendOrder,HLAfederate;HLAinteractionClass;HLAsendOrder,,7
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAdeleteObjectInstance,HLAservice,HLAdeleteObjectInstance,HLAfederate;HLAobjectInstance;HLAtag;HLAtimeStamp,HLAfederate;HLAobjectInstance,,7
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAdisableAsynchronousDelivery,HLAservice,HLAdisableAsynchronousDelivery,HLAfederate,HLAfederate,,4
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAdisableTimeConstrained,HLAservice,HLAdisableTimeConstrained,HLAfederate,HLAfederate,,4
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAdisableTimeRegulation,HLAservice,HLAdisableTimeRegulation,HLAfederate,HLAfederate,,4
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAenableAsynchronousDelivery,HLAservice,HLAenableAsynchronousDelivery,HLAfederate,HLAfederate,,4
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAenableTimeConstrained,HLAservice,HLAenableTimeConstrained,HLAfederate,HLAfederate,,4
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAenableTimeRegulation,HLAservice,HLAenableTimeRegulation,HLAfederate;HLAlookahead,HLAfederate;HLAlookahead,,6
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAfederateRestoreComplete,HLAservice,HLAfederateRestoreComplete,HLAfederate;HLAsuccessIndicator,HLAfederate,,5
