interface,direction,clause,service_title,method_name,overload_index,return_type,arguments,exceptions,signature
RTIambassador,federate-initiated,4.2,Connect,connect,1,void,FederateAmbassador federateReference; CallbackModel callbackModel; String localSettingsDesignator,ConnectionFailed; InvalidLocalSettingsDesignator; UnsupportedCallbackModel; AlreadyConnected; CallNotAllowedFromWithinCallback; RTIinternalError,"void connect(FederateAmbassador federateReference, CallbackModel callbackModel, String localSettingsDesignator) throws ConnectionFailed, InvalidLocalSettingsDesignator, UnsupportedCallbackModel, AlreadyConnected, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.2,Connect,connect,2,void,FederateAmbassador federateReference; CallbackModel callbackModel,ConnectionFailed; InvalidLocalSettingsDesignator; UnsupportedCallbackModel; AlreadyConnected; CallNotAllowedFromWithinCallback; RTIinternalError,"void connect(FederateAmbassador federateReference, CallbackModel callbackModel) throws ConnectionFailed, InvalidLocalSettingsDesignator, UnsupportedCallbackModel, AlreadyConnected, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.3,Disconnect,disconnect,1,void,,FederateIsExecutionMember; CallNotAllowedFromWithinCallback; RTIinternalError,"void disconnect() throws FederateIsExecutionMember, CallNotAllowedFromWithinCallback, RTIinternalError"
RTIambassador,federate-initiated,4.5,Create Federation Execution,createFederationExecution,1,void,String federationExecutionName; URL[] fomModules; URL mimModule; String logicalTimeImplementationName,CouldNotCreateLogicalTimeFactory; InconsistentFDD; ErrorReadingFDD; CouldNotOpenFDD; ErrorReadingMIM; CouldNotOpenMIM; DesignatorIsHLAstandardMIM; FederationExecutionAlreadyExists; NotConnected; RTIinternalError,"void createFederationExecution(String federationExecutionName, URL[] fomModules, URL mimModule, String logicalTimeImplementationName) throws CouldNotCreateLogicalTimeFactory, InconsistentFDD, ErrorReadingFDD, CouldNotOpenFDD, ErrorReadingMIM, CouldNotOpenMIM, DesignatorIsHLAstandardMIM, FederationExecutionAlreadyExists, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.5,Create Federation Execution,createFederationExecution,2,void,String federationExecutionName; URL[] fomModules; String logicalTimeImplementationName,CouldNotCreateLogicalTimeFactory; InconsistentFDD; ErrorReadingFDD; CouldNotOpenFDD; FederationExecutionAlreadyExists; NotConnected; RTIinternalError,"void createFederationExecution(String federationExecutionName, URL[] fomModules, String logicalTimeImplementationName) throws CouldNotCreateLogicalTimeFactory, InconsistentFDD, ErrorReadingFDD, CouldNotOpenFDD, FederationExecutionAlreadyExists, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.5,Create Federation Execution,createFederationExecution,3,void,String federationExecutionName; URL[] fomModules; URL mimModule,InconsistentFDD; ErrorReadingFDD; CouldNotOpenFDD; ErrorReadingMIM; CouldNotOpenMIM; DesignatorIsHLAstandardMIM; FederationExecutionAlreadyExists; NotConnected; RTIinternalError,"void createFederationExecution(String federationExecutionName, URL[] fomModules, URL mimModule) throws InconsistentFDD, ErrorReadingFDD, CouldNotOpenFDD, ErrorReadingMIM, CouldNotOpenMIM, DesignatorIsHLAstandardMIM, FederationExecutionAlreadyExists, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.5,Create Federation Execution,createFederationExecution,4,void,String federationExecutionName; URL[] fomModules,InconsistentFDD; ErrorReadingFDD; CouldNotOpenFDD; FederationExecutionAlreadyExists; NotConnected; RTIinternalError,"void createFederationExecution(String federationExecutionName, URL[] fomModules) throws InconsistentFDD, ErrorReadingFDD, CouldNotOpenFDD, FederationExecutionAlreadyExists, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.5,Create Federation Execution,createFederationExecution,5,void,String federationExecutionName; URL fomModule,InconsistentFDD; ErrorReadingFDD; CouldNotOpenFDD; FederationExecutionAlreadyExists; NotConnected; RTIinternalError,"void createFederationExecution(String federationExecutionName, URL fomModule) throws InconsistentFDD, ErrorReadingFDD, CouldNotOpenFDD, FederationExecutionAlreadyExists, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.6,Destroy Federation Execution,destroyFederationExecution,1,void,String federationExecutionName,FederatesCurrentlyJoined; FederationExecutionDoesNotExist; NotConnected; RTIinternalError,"void destroyFederationExecution(String federationExecutionName) throws FederatesCurrentlyJoined, FederationExecutionDoesNotExist, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.7,List Federation Executions,listFederationExecutions,1,void,,NotConnected; RTIinternalError,"void listFederationExecutions() throws NotConnected, RTIinternalError"
