category,schema,name,type_or_kind,minOccurs,maxOccurs,ref_or_mixed
element,OMT,objectModel,objectModelType,,,
element,OMT,modelIdentification,modelIdentificationType,,,
element,OMT,serviceUtilization,serviceUtilizationType,0,,
element,OMT,objects,objectsType,,,
element,OMT,interactions,interactionsType,,,
element,OMT,dimensions,dimensionsType,,,
element,OMT,time,timeType,0,,
element,OMT,tags,tagsType,0,,
element,OMT,synchronizations,synchronizationsType,0,,
element,OMT,transportations,transportationsType,,,
element,OMT,switches,switchesType,,,
element,OMT,updateRates,updateRatesType,0,,
element,OMT,dataTypes,dataTypesType,,,
element,OMT,notes,notesType,0,,
element,OMT,name,NonEmptyString,,,
element,OMT,type,modelType,,,
element,OMT,version,NonEmptyString,,,
element,OMT,modificationDate,,,,
element,OMT,securityClassification,securityClassificationType,,,
element,OMT,releaseRestriction,String,0,unbounded,
element,OMT,purpose,String,0,,
element,OMT,applicationDomain,applicationDomainType,0,,
element,OMT,description,NonEmptyString,,,
element,OMT,useLimitation,String,0,,
element,OMT,useHistory,String,0,unbounded,
element,OMT,keyword,keywordType,0,unbounded,
element,OMT,poc,,,unbounded,
element,OMT,reference,idReferenceType,0,unbounded,
element,OMT,other,String,0,,
element,OMT,glyph,,0,,
element,OMT,taxonomy,String,0,,
element,OMT,keywordValue,NonEmptyString,,,
element,OMT,pocType,pocTypeType,,,
element,OMT,pocName,String,0,,
element,OMT,pocOrg,String,0,,
element,OMT,pocTelephone,String,0,unbounded,
element,OMT,pocEmail,String,0,unbounded,
element,OMT,type,,,,
element,OMT,identification,,,,
element,OMT,connect,,,,
element,OMT,disconnect,,,,
element,OMT,connectionLost,,,,
element,OMT,createFederationExecution,,,,
element,OMT,destroyFederationExecution,,,,
element,OMT,listFederationExecutions,,,,
element,OMT,reportFederationExecutions,,,,
element,OMT,joinFederationExecution,,,,
element,OMT,resignFederationExecution,,,,
element,OMT,registerFederationSynchronizationPoint,,,,
element,OMT,confirmSynchronizationPointRegistration,,,,
element,OMT,announceSynchronizationPoint,,,,
element,OMT,synchronizationPointAchieved,,,,
element,OMT,federationSynchronized,,,,
element,OMT,requestFederationSave,,,,
element,OMT,initiateFederateSave,,,,
element,OMT,federateSaveBegun,,,,
element,OMT,federateSaveComplete,,,,
element,OMT,federationSaved,,,,
element,OMT,abortFederationSave,,,,
element,OMT,queryFederationSaveStatus,,,,
element,OMT,federationSaveStatusResponse,,,,
element,OMT,requestFederationRestore,,,,
element,OMT,confirmFederationRestorationRequest,,,,
element,OMT,federationRestoreBegun,,,,
element,OMT,initiateFederateRestore,,,,
element,OMT,federateRestoreComplete,,,,
element,OMT,federationRestored,,,,
element,OMT,abortFederationRestore,,,,
element,OMT,queryFederationRestoreStatus,,,,
element,OMT,federationRestoreStatusResponse,,,,
element,OMT,publishObjectClassAttributes,,,,
element,OMT,unpublishObjectClassAttributes,,,,
element,OMT,publishInteractionClass,,,,
element,OMT,unpublishInteractionClass,,,,
element,OMT,subscribeObjectClassAttributes,,,,
element,OMT,unsubscribeObjectClassAttributes,,,,
element,OMT,subscribeInteractionClass,,,,
element,OMT,unsubscribeInteractionClass,,,,
element,OMT,startRegistrationForObjectClass,,,,
element,OMT,stopRegistrationForObjectClass,,,,
element,OMT,turnInteractionsOn,,,,
element,OMT,turnInteractionsOff,,,,
element,OMT,reserveObjectInstanceName,,,,
element,OMT,objectInstanceNameReserved,,,,
element,OMT,releaseObjectInstanceName,,,,
element,OMT,reserveMultipleObjectInstanceNames,,,,
element,OMT,multipleObjectInstanceNamesReserved,,,,
element,OMT,releaseMultipleObjectInstanceNames,,,,
element,OMT,registerObjectInstance,,,,
element,OMT,discoverObjectInstance,,,,
element,OMT,updateAttributeValues,,,,
element,OMT,reflectAttributeValues,,,,
element,OMT,sendInteraction,,,,
element,OMT,receiveInteraction,,,,
element,OMT,deleteObjectInstance,,,,
element,OMT,removeobjectinstance,,,,
element,OMT,localDeleteObjectInstance,,,,
element,OMT,attributesInScope,,,,
element,OMT,attributesOutOfScope,,,,
element,OMT,requestAttributeValueUpdate,,,,
element,OMT,provideAttributeValueUpdate,,,,
element,OMT,turnUpdatesOnForObjectInstance,,,,
element,OMT,turnUpdatesOffForObjectInstance,,,,
element,OMT,requestAttributeTransportationTypeChange,,,,
element,OMT,confirmAttributeTransportationTypeChange,,,,
element,OMT,queryAttributeTransportationType,,,,
element,OMT,reportAttributeTransportationType,,,,
element,OMT,requestInteractionTransportationTypeChange,,,,
element,OMT,confirmInteractionTransportationTypeChange,,,,
